Player	Active
Dumerc, Celine	NO
Dunlap, Victoria	NO
Dupree, Candice	YES
Durr, Asia	YES
Dydek, Margo	NO
Edwards, Michelle	NO
Edwards, Simone	NO
Edwards, Teresa	NO
Edwards, Tonya	NO
Eldebrink, Frida	NO
Ellenberg, Aaryn	NO
Elonu, Adaora	NO
Ely-Gash, Shyra	NO
Enis, Shalonda	NO
Epps, Makayla	NO
Erb, Summer	NO
Ervin, Lauren	NO
Evans, Dawn	NO
Fagbenle, Temi	YES
Fallon, Trisha	NO
Faris, Kelly	NO
Farris, Barbara	NO
Faulkner, Jamierra	YES
Feaster, Allison	NO
Fei Fei, Sui	NO
Ferdinand-Harris, Marie	NO
Fernandez, Marta	NO
Ferragut, Marina	NO
Fields, Nirra	NO
Figgs, Ukari	NO
Fijalkowski, Isabelle	NO
Firsova, Olga	NO
Fitzgerald, Feyonda	NO
Flores, Milena	NO
Fluker, Tye'sha	NO
Folkl, Kristin	NO
Ford, Cheryl	NO
Ford, Kisha	NO
Ford, Stacey	NO
Foster, Toni	NO
Fowles, Sylvia	YES
Francis, Desiree	NO
Franklin, A'Quonesia	NO
Frazee, Megan	NO
Frese, Stacy	NO
Frett, La'Keshia	NO
Frierson, Catrina	NO
Frohlich, Linda	NO
Futrell, Candace	NO
Gaither, Katryna	NO
Gant, Travesa	NO
Garcia, Begona	NO
Gardin, Kerri	NO
Gardner, Andrea	NO
Garner, Andrea	NO
Gatling, Markeisha	NO
Gay, Pietra	NO
Gayden, Cornelia	NO
Gearlds, Katie	NO
Gemelos, Jacki	YES
George, Cayla	NO
Gessig, Kim	NO
Gibson, Kelley	NO
Gillom, Jennifer	NO
Gilmore, Usha	NO
Gissendanner, Kamela	NO
Givens, Chrissy	NO
Gomis, Emilie	NO
Goodlett, Sasha	NO
Goodrich, Angel	NO
Goodson, Adrienne	NO
Gordon, Bridgette	NO
Goring, Gillian	NO
Gortman, Shaunzinski	NO
Graham, Margo	NO
Grant, Erin	NO
Graves, Bashaara	NO
Graves, Denique	NO
Gray, Allisha	YES
Gray, Chelsea	YES
Gray, Reshanda	YES
Gray-Lawson, Alexis	NO
Greco, Michelle	NO
Greene, Kalana	NO
Greene, Nikki	NO
Greenwalt, Cisti	NO
Grgin Fonseca, Vedrana	NO
Griffin, Kelsey	NO
Griffith, Yolanda	NO
Griner, Brittney	YES
Grooms, Lady	NO
Grubin, Gordana	NO
Gruda, Sandrine	NO
Gustafson, Megan	YES
Guyton, Wanda	NO
Gwathmey, Jazmon	YES
Gülich, Marie	YES
Hagiwara, Mikiko	NO
Hairston, Kamesha	NO
Hall, Amber	NO
Hall, Vicki	NO
Hamblin, Angela	NO
Hamblin, Ruth	NO
Hamby, Dearica	YES
Hammon, Becky	NO
Hampton, Keisha	NO
Hampton, Kym	NO
Hamson, Jennifer	NO
Hamzova, Romana	NO
Harden, Alex	NO
Harding, Lindsey	NO
Harper, Laura	NO
Harper, Linnae	YES
Harrington, Donna	NO
Harris, Amber	NO
Harris, Fran	NO
Harrison, Isabelle	YES
Harrison, Lisa	NO
Harrower, Kristi	NO
Hartley, Bria	YES
Hassell, Jasmine	NO
Hawkins, Tianna	YES
Hayden, Vanessa	NO
Hayes, Tiffany	YES
Haynie, Kristin	NO
Head, Dena	NO
Henderson, Nekeshia	NO
Henderson, Tracy	NO
Henning, Sonja	NO
Herrig, Amy	NO
Herrington, Armintie	NO
Hibbert, Katrina	NO
